Company Name,Site Name,Technology,Type,CHP,Primary Fuel,Secondary Fuel,InstalledCapacity (MW),Grid Connection Type,Country,Region,Postcode,OS Reference,X-Coordinate,Y-Coordinate,Year Commissioned
Anesco,Abergelli,Solar,PV,No,Solar,,7.68222,LV,Wales,Wales,SA57NN,,265507.0,202009.0,2015
Anesco,Anglesey ,Solar,PV,No,Solar,,14.92608,LV,Wales,Wales,LL635SZ,,238717.0,367342.0,2014
Anesco,Biglis,Solar,PV,No,Solar,,4.973,LV,Wales,Wales,CF631BL,,,,2016
Anesco,Darran,Solar,PV,No,Solar,,1.823,LV,Wales,Wales,,,,,2017
Anesco,Derwyn,Solar,PV,No,Solar,,4.664,LV,Wales,Wales,CF623AA,,,,2016
Anesco,Jordanston,Solar,PV,No,Solar,,4.631,LV,Wales,Wales,SA708NQ,,,,2013
Anesco,Michaelston,Solar,PV,No,Solar,,4.17428,LV,Wales,Wales,CF36XS,,322998.0,183674.0,2016
Anesco,Nanthenfoel,Solar,PV,No,Solar,,4.99684,LV,Wales,Wales,SA487NP,,254014.0,252465.0,2017
Anesco,Oak Cottage,Solar,PV,No,Solar,,4.8672,LV,Wales,Wales,SA624PR,,202839.0,217801.0,2015
Anesco,Parcstormy,Solar,PV,No,Solar,,0.7,LV,Wales,Wales,CF334RS,,,,2013
Anesco,Pen-Y-Cae,Solar,PV,No,Solar,,6.76227,LV,Wales,Wales,SA183BJ,,260143.0,211806.0,2015
Anesco,Saron,Solar,PV,No,Solar,,6.33258,LV,Wales,Wales,SA183TW,,260904.0,212664.0,2015
Anesco,Waycock,Solar,PV,No,Solar,,7.35678,LV,Wales,Wales,CF623AA,,,,2016
Babcock International and Fluor Inc,Maentwrog,Hydro,Natural Flow,No,Hydro,,35.3,HV,Wales,Wales,LL414HY,,267297.81261199998,337806.87196800002,1928
BayWa R.E,Tir Mostyn & Foel Goch Ltd,Wind,Onshore,No,Wind,,21.25,HV,Wales,Wales,LL165RN,,300300.0,358800.0,2005
Capital Dynamics UK,Rymes,Solar,PV,No,Solar,,4.9908,LV,Wales,Wales,,,,,2017
Capital Dynamics UK,Ysgellog,Wind,Onshore,No,Wind,,4.6,LV,Wales,Wales,LL060AW,,240490.0,391238.0,2013
Ecotricity,Cardiff,Wind,Onshore,No,Wind,,2.3,LV,Wales,Wales,CF32EE,,323460.0,179215.0,2011
EDF Energy,Cemmaes,Wind,Onshore,No,Wind,,15.3,LV,Wales,Wales,SY209PR,,286800.0,306000.0,2002
EDF Energy,Llangwyryfon,Wind,Onshore,No,Wind,,9.35,LV,Wales,Wales,SY234SR,,261752.0,269577.0,2003
European Energy A/S,Parc Cynog,Wind,Onshore,No,Wind,,3.6,LV,Wales,Wales,,,225500.0,209500.0,2001
European Energy A/S,Pendine Wind Farm Limited,Wind,Onshore,No,Wind,,4.8,LV,Wales,Wales,,,225230.0,209760.0,2009
European Energy A/S,PV@Pendine Solar Farm,Solar,PV,No,Solar,,4.9,LV,Wales,Wales,,,224103.0,210103.0,2016
Falck Renewables SpA,Cambrian,Wind,Onshore,No,Wind,,58.5,LV,Wales,Wales,SY233LE,,281000.0,280000.0,2005
Foresight Group,Moel Moelogan,Wind,Onshore,No,Wind,,2.6,HV,Wales,Wales,,,284619.0,362203.0,2003
