,,,,EU ETS,,,,,,,,UK ETS,,
Installation,UK ETS Account holder name,Broad sector,Subsector,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Horizon Air LLP,Not in UK ETS,Airline operator,Airline operator, -   , -   , -   , -   , -   , -   , -   , -   ,  ,,  
Iceland Holding Account,Flexible Generation Ltd,Airline operator,Airline operator, -   , 953 , 974 , -   , -   , -   , -   , -   ,  ,,  
Aberthaw Cement Plant,Tarmac Cement and Lime Limited,Industry,Cement," 331,621 "," 357,505 "," 345,472 "," 337,661 "," 333,126 "," 336,474 "," 365,472 "," 325,244 "," 346,236 ",358090," 284,212 "
Airbus UK Limited - Broughton,Airbus Operations Limited,Industry,Vehicles," 39,526 "," 35,157 "," 35,964 "," 37,039 "," 35,311 "," 36,105 "," 35,321 "," 33,734 "," 25,946 ",21075," 19,642 "
Anglesey Aluminium Metal Ltd,Not in UK ETS,Industry,Other industry," 3,799 ", -   , -   , -   , -   , -   , -   , -   ,  ,,  
BAE Systems - Glascoed,BAE Systems Global Combat Systems Munitions Ltd,Industry,Defense," 11,137 "," 9,491 "," 8,189 "," 8,369 "," 8,423 "," 7,790 "," 8,658 "," 9,113 "," 9,172 ",8662," 9,343 "
Bridgend Operation,WEPA UK Limited,Industry,Paper," 38,641 "," 38,143 "," 38,366 "," 35,416 "," 36,809 "," 37,732 "," 40,061 "," 41,810 "," 37,467 ",50364," 56,645 "
Cardiff IDC,Not in UK ETS,Industry,Data centre, 42 , 63 , 54 , 74 , 76 , 69 , 59 , 45 ,  ,,  
CELSA Manufacturing (UK) Ltd – New Melt Shop,CELSA Manufacturing (UK) Limited,Industry,Iron & Steel," 44,598 "," 49,402 "," 51,432 "," 60,364 "," 48,228 "," 40,963 "," 46,650 "," 48,374 "," 48,149 ",40453," 31,724 "
CELSA Manufacturing (UK) Ltd – Rod & Bar Mill,CELSA Manufacturing (UK) Limited,Industry,Iron & Steel," 46,761 "," 45,240 "," 46,164 "," 45,858 "," 44,168 "," 45,951 "," 45,377 "," 42,090 "," 48,236 ",42506," 38,522 "
CELSA Manufacturing (UK) Ltd – Sections Mill,CELSA Manufacturing (UK) Limited,Industry,Iron & Steel," 24,440 "," 24,345 "," 24,137 "," 23,091 "," 23,985 "," 20,821 "," 23,543 "," 19,182 "," 21,855 ",20556," 18,253 "
Dolyhir Asphalt,Not in UK ETS,Industry,Other minerals," 5,705 "," 6,662 "," 6,357 "," 4,594 "," 4,970 "," 5,021 "," 4,451 "," 5,209 ",  ,,  
DOW CORNING COGEN PLANT,Not in UK ETS,Industry,Chemicals," 161,321 "," 166,082 "," 157,629 "," 158,669 "," 157,846 ", -   , -   , -   ,  ,,  
Dow Silicone Manufacturing Installation,Dow Silicones UK Limited,Industry,Chemicals," 22,605 "," 24,573 "," 22,469 "," 21,973 "," 21,623 "," 167,315 "," 151,422 "," 168,983 "," 146,115 ",117505," 124,666 "
Dragon LNG Terminal,Dragon LNG Ltd,Industry,LNG, 743 ," 165,457 "," 159,377 "," 166,602 "," 168,870 "," 174,828 "," 70,118 "," 81,933 "," 77,456 ",118410," 111,265 "
