Installation,UK ETS Account holder name,Broad sector,Subsector,2021,2022,2023
Horizon Air LLP,Not in UK ETS,Airline operator,Airline operator,  ,,  
Iceland Holding Account,Flexible Generation Ltd,Airline operator,Airline operator,  ,,  
Aberthaw Cement Plant,Tarmac Cement and Lime Limited,Industry,Cement," 346,236 ",358090," 284,212 "
Airbus UK Limited - Broughton,Airbus Operations Limited,Industry,Vehicles," 25,946 ",21075," 19,642 "
Anglesey Aluminium Metal Ltd,Not in UK ETS,Industry,Other industry,  ,,  
BAE Systems - Glascoed,BAE Systems Global Combat Systems Munitions Ltd,Industry,Defense," 9,172 ",8662," 9,343 "
Bridgend Operation,WEPA UK Limited,Industry,Paper," 37,467 ",50364," 56,645 "
Cardiff IDC,Not in UK ETS,Industry,Data centre,  ,,  
CELSA Manufacturing (UK) Ltd – New Melt Shop,CELSA Manufacturing (UK) Limited,Industry,Iron & Steel," 48,149 ",40453," 31,724 "
CELSA Manufacturing (UK) Ltd – Rod & Bar Mill,CELSA Manufacturing (UK) Limited,Industry,Iron & Steel," 48,236 ",42506," 38,522 "
CELSA Manufacturing (UK) Ltd – Sections Mill,CELSA Manufacturing (UK) Limited,Industry,Iron & Steel," 21,855 ",20556," 18,253 "
Dolyhir Asphalt,Not in UK ETS,Industry,Other minerals,  ,,  
DOW CORNING COGEN PLANT,Not in UK ETS,Industry,Chemicals,  ,,  
Dow Silicone Manufacturing Installation,Dow Silicones UK Limited,Industry,Chemicals," 146,115 ",117505," 124,666 "
Dragon LNG Terminal,Dragon LNG Ltd,Industry,LNG," 77,456 ",118410," 111,265 "
Felindre Compressor Station,National Grid Gas Plc,Industry,Compressor Station," 6,838 ",28836," 13,074 "
First Milk - Haverfordwest Creamery,Not in UK ETS,Industry,Food & Drink,  ,,  
Flint Site,Not in UK ETS,Industry,Paper,  ,,  
Ford Bridgend Engine Plant,Not in UK ETS,Industry,Vehicles,  ,,  
KELLOGG COMPANY - WREXHAM,Kellogg Company of Great Britain Limited,Industry,Food & Drink," 15,892 ",14157," 11,098 "
Knauf Insulation Queensferry,Knauf Insulation Limited,Industry,Insulation," 34,863 ",32411," 30,858 "
Kronospan Ltd,Kronospan Ltd,Industry,Other industry," 152,231 ",127500," 139,563 "
Liberty Steel Newport Limited,Liberty Steel Newport Limited,Industry,Iron & Steel," 20,276 ",4462, 373 
Llanwern Steelworks,Tata Steel UK Limited,Industry,Iron & Steel," 36,228 ",33662," 35,997 "
Machen Asphalt Plant,Not in UK ETS,Industry,Other minerals,  ,,  
Magor Brewery,AB InBev UK Limited,Industry,Food & Drink," 19,635 ",20543," 19,142 "
Mold Chemicals (Alyn Works),Synthite Limited,Industry,Chemicals," 9,572 ",9576," 9,047 "
Murco Petroleum Milford Haven Refinery,Not in UK ETS,Industry,Refining,  ,,  
Nexperia Newport Limited,Nexperia Newport Limited,Industry,Other industry," 10,612 ",10413," 9,354 "
Orb Electrical Steels,Not in UK ETS,Industry,Iron & Steel,  ,,  
Padeswood Works,Hanson,Industry,Cement," 534,888 ",496271," 359,676 "
Point of Ayr Gas Terminal,Eni UK Limited,Industry,Gas Terminal," 40,447 ",23840," 13,114 "
Pont-y-Felin Insulation,Knauf Insulation Limited,Industry,Insulation," 28,347 ",25637," 23,856 "
Port Talbot Steelworks,Tata Steel UK Limited,Industry,Iron & Steel," 6,643,839 ",5673654," 5,706,594 "
RF Brookes Rogerstone Park,Not in UK ETS,Industry,Food & Drink,  ,,  
Rockwool Bridgend,Rockwool Ltd,Industry,Insulation," 84,268 ",87446," 72,742 "
SCA Hygiene Products UK Ltd - Oakenholt Paper Mill,Essity UK Limited,Industry,Paper," 22,376 ",24318," 23,841 "
Shotton Mill Limited,Shotton Mill Limited,Industry,Paper," 12,319 ",12108," 13,669 "
Sofidel UK Baglan,Sofidel UK Limited,Industry,Paper," 20,750 ",19242," 18,440 "
Solutia Generating Plant,UK Power Reserve Limited,Industry,Chemicals," 5,020 ",5806," 1,868 "
Solutia UK Limited - Newport,Solutia UK Limited,Industry,Chemicals," 44,426 ",39504," 35,678 "
South Hook LNG Terminal Company LTD.,South Hook LNG Terminal Company LTD.,Industry,LNG," 182,562 ",333291," 192,901 "
Tata Steel Colors,Tata Steel UK Limited,Industry,Iron & Steel," 55,478 ",50010," 49,843 "
Tata Steel Packaging Plus UK,Tata Steel UK Limited,Industry,Iron & Steel," 43,096 ",40408," 35,731 "
Torcoed Asphalt,Not in UK ETS,Industry,Other minerals,  ,,  
"Valero, Pembroke",Valero Energy Ltd,Industry,Refining," 1,583,183 ",2389437," 2,337,923 "
Volac International Ltd,Volac International Ltd,Industry,Food & Drink," 12,401 ",11953," 12,774 "
Warwick International Limited,Warwick International Limited,Industry,Chemicals," 20,227 ",17819, -   
Aberdare Generating Plant,UK Power Reserve Limited,Power Station,Reserve power - Gas," 6,106 ",6713," 1,679 "
Aberthaw Power Station,Not in UK ETS,Power Station,Power - Coal,  ,,  
